20230319 20:49:53.765558 56897 INFO  Httpserver listening on 0.0.0.0:8080 - httpserver.cc:23
20230319 20:49:59.746686 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#1] from 127.0.0.1:48900 - tcpserver.cc:53
20230319 20:49:59.746874 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#1] - tcpserver.cc:38
20230319 20:50:00.747105 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#2] from 127.0.0.1:48902 - tcpserver.cc:53
20230319 20:50:00.747158 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#3] from 127.0.0.1:48906 - tcpserver.cc:53
20230319 20:50:00.747194 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#4] from 127.0.0.1:48908 - tcpserver.cc:53
20230319 20:50:00.747220 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747227 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#5] from 127.0.0.1:48916 - tcpserver.cc:53
20230319 20:50:00.747238 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747263 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#6] from 127.0.0.1:48922 - tcpserver.cc:53
20230319 20:50:00.747274 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#7] from 127.0.0.1:48928 - tcpserver.cc:53
20230319 20:50:00.747283 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747307 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#8] from 127.0.0.1:48942 - tcpserver.cc:53
20230319 20:50:00.747306 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747325 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747326 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747339 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747398 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#9] from 127.0.0.1:48950 - tcpserver.cc:53
20230319 20:50:00.747422 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#2] - tcpserver.cc:38
20230319 20:50:00.747441 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747443 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#3] - tcpserver.cc:38
20230319 20:50:00.747465 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#5] - tcpserver.cc:38
20230319 20:50:00.747470 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#6] - tcpserver.cc:38
20230319 20:50:00.747489 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#7] - tcpserver.cc:38
20230319 20:50:00.747494 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#4] - tcpserver.cc:38
20230319 20:50:00.747497 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#8] - tcpserver.cc:38
20230319 20:50:00.747535 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#10] from 127.0.0.1:48962 - tcpserver.cc:53
20230319 20:50:00.747558 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#9] - tcpserver.cc:38
20230319 20:50:00.747577 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747587 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#11] from 127.0.0.1:48978 - tcpserver.cc:53
20230319 20:50:00.747616 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#12] from 127.0.0.1:48986 - tcpserver.cc:53
20230319 20:50:00.747628 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747646 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#13] from 127.0.0.1:48992 - tcpserver.cc:53
20230319 20:50:00.747655 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747656 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#14] from 127.0.0.1:49004 - tcpserver.cc:53
20230319 20:50:00.747663 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#15] from 127.0.0.1:49006 - tcpserver.cc:53
20230319 20:50:00.747668 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#16] from 127.0.0.1:49026 - tcpserver.cc:53
20230319 20:50:00.747677 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#17] from 127.0.0.1:49010 - tcpserver.cc:53
20230319 20:50:00.747680 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747685 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#18] from 127.0.0.1:49036 - tcpserver.cc:53
20230319 20:50:00.747687 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747692 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#19] from 127.0.0.1:49046 - tcpserver.cc:53
20230319 20:50:00.747697 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#20] from 127.0.0.1:49060 - tcpserver.cc:53
20230319 20:50:00.747703 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#21] from 127.0.0.1:49072 - tcpserver.cc:53
20230319 20:50:00.747705 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#11] - tcpserver.cc:38
20230319 20:50:00.747706 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#10] - tcpserver.cc:38
20230319 20:50:00.747711 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747712 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747713 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#22] from 127.0.0.1:49084 - tcpserver.cc:53
20230319 20:50:00.747718 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747721 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#23] from 127.0.0.1:49098 - tcpserver.cc:53
20230319 20:50:00.747723 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747730 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747731 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#24] from 127.0.0.1:49110 - tcpserver.cc:53
20230319 20:50:00.747733 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747741 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#25] from 127.0.0.1:49120 - tcpserver.cc:53
