20230319 20:50:21.059545 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059575 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059591 56899 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.059600 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059684 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059711 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059735 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059823 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059852 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059877 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059891 56899 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.059903 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.059914 56899 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.059922 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.060005 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.060031 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.060046 56899 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.064891 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.064949 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.064961 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.064969 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.064979 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.064998 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065005 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065016 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065031 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065054 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065062 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065071 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065087 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065098 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065113 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065122 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065130 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065137 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065171 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065185 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065213 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065253 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065270 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065283 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065309 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065356 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065365 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065376 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065385 56899 ERROR TcpConnection::HandleError : Connection reset by peer - tcpconnection.cc:60
20230319 20:50:21.065394 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065411 56899 ERROR TcpConnection::HandleError : Connection reset by peer - tcpconnection.cc:60
20230319 20:50:21.065442 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065464 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065472 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065487 56899 ERROR TcpConnection::HandleError : Connection reset by peer - tcpconnection.cc:60
20230319 20:50:21.065495 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065517 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065526 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065551 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065561 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065609 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065618 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065627 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065645 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
